cog_economic_conservatism,cog_economic_nationalism,cog_nat_autarchy,cog_nationalism,cog_net_autarky,country,country_year,distyear,export_growth,fdi_inflow,fdi_outflow,import_shock,import_shock_all,import_shock_eu,import_shock_eu12,import_shock_eu15,in_share_finance_business,in_share_foreign_born,in_share_high_skill,in_share_high_tech,in_share_low_medium_tech,in_share_low_skill,in_share_medium_skill,in_share_primary_sector,in_share_services,in_stock_foreign_born,instrument_exch_rate_lag1,instrument_exch_rate_lag2,instrument_for_shock,instrument_for_shock_all,instrument_other_high_income,liberal_right,median_nat_autarchy,median_nationalism,nuts2,nuts2_year,pro_trade_left,protectionist_left,protectionist_left_proper,protectionist_right,radical_right,year
-0.49304832130107606,0.4795420443942644,0.03463522092811963,0.24701144352634277,-0.9066858575635317,Austria,7.0,AT33_tirol 1994,,,,,,,,,7.5,0.1391298472881317,12.199999809265137,2.9000000953674316,14.399999618530273,24.799999237060547,63.0,5.300000190734863,67.30000305175781,94262.0,0.15904799103736877,0.1535724550485611,1.1644086837768555,4.052908897399902,9.54507064819336,0.3624587059021,0.5218442961915821,0.5099063045896921,AT33,147.0,0.24418880045414,0.0954537466168404,0.0954537466168404,0.2735238522291187,0.220643371343613,1994.0
0.18131864470520523,-0.16473630470109132,0.059411738349030976,-0.07929535830778957,-0.16894294885815397,Austria,3.0,AT34_vorarlberg 1990,,,,,,,,,6.0,0.16699662804603577,14.100000381469727,3.200000047683716,27.5,29.200000762939453,56.599998474121094,3.5,50.70000076293945,59130.0,0.24234260618686676,0.242689311504364,,,6.5656938552856445,0.403567910194397,0.1343635176714748,0.010638705203362298,AT34,163.0,0.288475930690765,0.098011627793312,0.098011627793312,0.171679630875587,0.171679630875587,1990.0
0.4020516427226185,0.9087545412828594,0.30836156865243497,0.589786645561562,-0.22044174067701927,Austria,12.0,AT22_steiermark sYd-ost 1999,1.558624029159546,0.5296915173530579,0.43486592173576355,-0.002845233539119363,1.5687119960784912,1.4535409212112427,0.36018526554107666,1.093355655670166,6.300000190734863,0.08292056620121002,11.600000381469727,3.0999999046325684,16.799999237060547,23.899999618530273,64.5,11.600000381469727,54.70000076293945,98603.0,0.2159051150083542,0.2111395299434662,2.1912381649017334,8.187081336975098,-4.902336120605469,0.405087262392044,0.7822279960621035,0.2856041527359574,AT22,92.0,0.215845361351967,0.0448230698239058,0.0448230698239058,0.3256611721590165,0.311156660318375,1999.0
0.41342433441869036,0.37344527815938516,-0.3354324588469511,0.41971017614347994,0.0077185930746643105,Austria,15.0,AT13_wien sYd 2002,1.1691906452178955,0.4846256375312805,0.7037855386734009,0.06537517160177231,0.6603130102157593,0.5725234746932983,0.46874770522117615,0.1037757471203804,15.600000381469727,0.24354521930217743,19.200000762939453,6.099999904632568,10.300000190734863,19.799999237060547,61.0,0.6000000238418579,73.9000015258789,386950.0,0.16867627203464508,0.16369786858558655,-0.4915146231651306,-35.735294342041016,30.93289566040039,0.1904468610882757,-0.3412822285715842,0.0,AT13,55.0,0.0,0.5414593191817404,0.5414593191817404,0.254009217023849,0.0902781188488007,2002.0
0.2144633050293238,0.19993185009087752,-0.33865467672622884,-0.8237127325921242,-0.0236644042216628,Austria,19.0,AT22_steiermark nord-west 2006,-0.09230327606201172,0.9159116744995117,1.3703629970550537,0.19845065474510193,-0.65553218126297,-1.214281678199768,-0.6828694939613342,-0.5314121842384338,6.300000190734863,0.08292056620121002,11.600000381469727,3.0999999046325684,16.799999237060547,23.899999618530273,64.5,11.600000381469727,54.70000076293945,98603.0,0.2408052235841751,0.24349497258663177,7.790234565734863,15.770933151245117,181.67193603515625,0.308409661054611,-0.8703665860338008,-1.711226625774818,AT22,99.0,0.053294338285923,0.0475996024906636,0.0198653563857079,0.5658757314085956,0.0989074036478996,2006.0
-0.021235203143047606,0.1637907106526971,1.2442074016825915,0.9165318857160644,0.10627552296573896,Belgium,36.0,BE25_42 2003,-0.3009258508682251,2.2951247692108154,2.2721827030181885,0.23534061014652252,-1.2770061492919922,-0.625450849533081,-0.07129494100809097,-0.5541558861732483,6.300000190734863,0.02099720947444439,23.399999618530273,3.9000000953674316,21.100000381469727,41.70000076293945,34.900001525878906,6.099999904632568,58.5,23976.0,0.2942548096179962,0.27774521708488464,7.884792804718018,-1.7179076671600342,103.40777587890625,0.217171067888724,1.5803566513608376,0.9353017741292238,BE25,296.0,0.0322365568629823,0.249136644584934,0.249136644584934,0.268373715680047,0.0,2003.0
0.06594495482495216,0.2193784457626337,-0.13084965653927,0.18287764036538842,0.0035912745770725245,Belgium,24.0,BE23_alost-aalst 1991,0.4141852855682373,,,0.04342712089419365,1.4915475845336914,1.166547417640686,0.03982989862561226,1.1267175674438477,7.5,0.03001115471124649,26.5,4.900000095367432,18.200000762939453,43.29999923706055,30.200000762939453,3.299999952316284,63.599998474121094,41699.0,0.19099046289920807,0.18176047503948212,1.9967398643493652,-4.02816104888916,-0.3837135434150696,0.3148237392306324,0.06244230091368452,0.0,BE23,244.0,0.0,0.2937641665339472,0.2937641665339472,0.31378157436847687,0.0884402394294739,1991.0
0.36456329128789744,0.16401751190911718,-0.021234151751447005,0.3276856913062022,0.3081531286592334,Belgium,28.0,BE31_nivelles-nijvel 1995,3.109858512878418,,,0.05409852787852287,1.8033751249313354,1.167840600013733,0.06366799026727676,1.1041725873947144,14.5,0.08302749693393707,39.099998474121094,4.099999904632568,7.900000095367432,29.200000762939453,31.600000381469727,2.799999952316284,74.80000305175781,30428.0,0.13293708860874176,0.12849470973014832,1.3721407651901245,8.38797378540039,14.39801025390625,0.20499761402607,0.1921332934054798,-0.03500271383425102,BE31,308.0,0.0,0.130501076579094,0.130501076579094,0.619653955101967,0.0,1995.0
-0.8777537212538898,-0.8794996491617992,-0.607679558788084,-0.583256258899683,-0.10656361563314584,Belgium,40.0,BE33_24 2007,5.046645641326904,4.329491138458252,3.7184324264526367,0.7426378130912781,4.818589210510254,3.104891777038574,0.26444658637046814,2.8404452800750732,7.099999904632568,0.10241209715604782,23.600000381469727,4.5,14.0,48.0,28.5,2.299999952316284,69.4000015258789,106539.0,0.2085643708705902,0.20799939334392548,6.763334274291992,16.157297134399414,102.58816528320312,0.0,-0.7059486731759548,-0.852835984872931,BE33,360.0,0.626380595043069,0.14372280646127256,0.135483674668793,0.0,0.0,2007.0
-0.08916665914954787,-0.0924450732948631,-0.18269892599880225,-0.2572461164124794,-0.15312063050592425,Belgium,24.0,BE10_bruxelles-brussel 1991,0.2768217623233795,,,0.008313300088047981,0.6691665053367615,0.5752479434013367,0.015272579155862331,0.5599753856658936,17.100000381469727,0.26864147186279297,37.0,2.9000000953674316,7.800000190734863,37.5,25.5,,82.80000305175781,273693.0,0.07112317532300949,0.06771257519721985,0.45644330978393555,-2.1138339042663574,0.8625959753990173,0.23600059375166899,-0.2725040852980445,-0.6066646777822418,BE10,184.0,0.23122642934322318,0.15231306664645672,0.0882736723870039,0.297844037413597,0.059588611125946,1991.0
-0.005666516510181765,-0.24676779974155408,0.007512075955648006,-0.449438707570397,0.06217135883145798,Finland,60.0,FI1B_helsinki 2007,1.782810091972351,1.7301579713821411,1.0356404781341553,0.5427940487861633,1.5132105350494385,0.6090787649154663,-0.2639329433441162,0.8730117082595825,11.300000190734863,0.028113650158047676,42.400001525878906,7.900000095367432,11.800000190734863,19.5,38.20000076293945,3.5999999046325684,70.0,36848.0,0.1500895470380783,0.15000811219215393,9.398192405700684,20.277746200561523,129.45635986328125,0.5617704540491103,-0.21252174717154393,-0.45164449807914575,FI1B,1510.0,0.21313713490963,0.1221151780337095,0.0678449422121048,0.0734113622456789,0.0291752927005291,2007.0
0.15218967701663297,0.051013898395600034,0.09459640905013073,-0.05557788729150541,-0.04207296146707974,Finland,52.0,FI19_central finland 1999,0.8325333595275879,2.5627923011779785,3.8644633293151855,-0.008367844857275486,0.8122726678848267,0.7744244933128357,0.11782743036746979,0.6565970778465271,7.900000095367432,0.008577789179980755,30.399999618530273,4.5,16.100000381469727,27.100000381469727,42.599998474121094,8.0,60.900001525878906,11278.0,0.21775667369365692,0.2095133513212204,4.389132976531982,14.861065864562988,-12.392578125,0.4126186310313641,-0.42021867376345634,0.004796753264991183,FI19,1482.0,0.124700367450714,0.1351922531612217,0.0525565110146999,0.3081777049228554,0.0022103902883828,1999.0
-0.09586011234257438,-0.2357075440164756,-0.20839948140593392,-0.04245041798879361,-0.07571521661750652,Finland,52.0,FI1D_lapland 1999,0.8047308325767517,1.9990943670272827,3.0132081508636475,0.0038612624630331993,0.5316482186317444,0.4839613139629364,0.0865749716758728,0.3973863422870636,6.25,0.0068137734197080135,30.600000381469727,4.550000190734863,13.050000190734863,21.100000381469727,48.29999923706055,12.149999618530273,62.29999923706055,9109.0,0.14445176720619202,0.13764819502830505,2.4948277473449707,9.190444946289062,-6.0855255126953125,0.2363107034470889,-0.42021867376345634,0.004796753264991183,FI1D,1542.0,0.270778506994247,0.0358557668514549,0.0178025811910629,0.428264379501343,0.0053783650510013,1999.0
-0.3219179284600596,-0.47427932728750216,0.32063404868499495,-0.4462293653611919,-0.16990709043684127,Finland,48.0,FI19_hSmeen lSSnin pohjoinen 1995,,,,,,,,,7.900000095367432,0.008577789179980755,30.399999618530273,4.5,16.100000381469727,27.100000381469727,42.599998474121094,8.0,60.900001525878906,11278.0,0.19093725085258484,0.1733841449022293,4.898203372955322,18.760347366333008,49.25939178466797,0.508220627903938,-0.1884699460193806,-1.3825560122206788,FI19,1478.0,0.0,0.2342595625668765,0.20856180042028438,0.132372125983238,0.0,1995.0
0.24650349951374764,0.14901042206826506,-0.20621426120779568,-0.5831162666739823,-0.036751944823647804,Finland,52.0,FI1D_north karelia 1999,0.8047308325767517,1.9990943670272827,3.0132081508636475,0.0038612624630331993,0.5316482186317444,0.4839613139629364,0.0865749716758728,0.3973863422870636,6.25,0.0068137734197080135,30.600000381469727,4.550000190734863,13.050000190734863,21.100000381469727,48.29999923706055,12.149999618530273,62.29999923706055,9109.0,0.14445176720619202,0.13764819502830505,2.4948277473449707,9.190444946289062,-6.0855255126953125,0.5058078178553846,-0.42021867376345634,0.004796753264991183,FI1D,1542.0,0.0505082570016384,0.1211994178593158,0.0422016493976116,0.30345749907428377,0.0157746225595474,1999.0
-0.8090231528011905,-0.3170398949689318,-0.07982883597157632,0.19912238195711593,0.26547160801820424,France,75.0,FR61_gironde  2 2002,0.17019818723201752,0.22926118969917297,0.4845065176486969,0.008333678357303143,-0.07203453779220581,-0.05989552289247513,0.0259746965020895,-0.08587022125720978,7.599999904632568,,20.0,4.400000095367432,10.100000381469727,34.79999923706055,45.29999923706055,9.300000190734863,66.30000305175781,,0.19624924659729004,0.18522986769676208,0.01997135952115059,-1.9570543766021729,2.6348886489868164,0.0,-0.37807825678567175,0.5914417437919575,FR61,1865.0,0.8086144365370265,0.0567889548838139,0.0567889548838139,0.0936234381515532,0.0708309945184737,2002.0
0.24511218173010307,1.447150108968775,0.7066408245196492,0.28394159863480994,1.8840144570795,France,70.0,FR21_marne (haute-)  2 1997,0.20358851552009583,0.36395764350891113,0.5340337157249451,0.02865288220345974,0.01744861714541912,0.02159631811082363,0.0064599462784826756,0.015136371366679668,7.699999809265137,,15.5,3.299999952316284,15.399999618530273,45.70000076293945,38.79999923706055,10.5,62.400001525878906,,0.30856192111968994,0.3055756390094757,0.1651233583688736,-0.296209454536438,4.888835430145264,0.0,0.0,0.1309676166963274,FR21,1600.0,0.2474568970501419,0.0969103425741196,0.0969103425741196,0.554643958806991,0.239916533231735,1997.0
-0.34451894330738414,-1.2190044335833214,-0.8507865659476619,0.4475279749823057,-1.911369657293497,France,61.0,FR10_paris 10 1988,,,,,,,,,17.899999618530273,,33.0,8.0,7.199999809265137,32.20000076293945,34.79999923706055,0.699999988079071,78.30000305175781,,,,,,,0.446480870246887,-1.1958084967378455,1.0253923860571912,FR10,1571.0,0.371291220188141,0.0656000375747681,0.0656000375747681,0.0722351551521569,0.0722351551521569,1988.0
-0.04567047040742618,0.4597686567530112,0.015019009909716809,0.12987974568623295,1.046316608355004,France,70.0,FR24_indre  3 1997,0.49369704723358154,0.38154298067092896,0.5607250332832336,0.04302327334880829,0.2932184338569641,0.21188078820705414,0.018971947953104973,0.19290883839130402,6.599999904632568,,16.5,4.599999904632568,14.0,41.0,42.599998474121094,6.300000190734863,62.599998474121094,,0.31542354822158813,0.31186434626579285,0.251730740070343,-0.5542614459991455,6.429031848907471,0.0,0.0,-0.2574705551070733,FR24,1660.0,0.4330050125718117,0.101261928677559,0.101261928677559,0.372473582625389,0.130655586719513,1997.0
1.2734590281394322,2.6157141695030703,1.0741057228419235,0.5573777278189189,0.5410034285027607,France,66.0,FR42_rhin (bas-)  3 1993,0.2682307958602905,0.34089595079421997,0.5001378655433655,-0.002403847873210907,-0.3389241099357605,-0.052713245153427124,0.02844579704105854,-0.08115904033184052,8.300000190734863,,19.5,4.199999809265137,15.5,33.400001525878906,47.099998474121094,2.9000000953674316,60.29999923706055,,0.31342557072639465,0.3031434118747711,0.42804256081581116,1.474859356880188,1.759796142578125,0.0,1.6651761350712087,1.4392871292748803,FR42,1756.0,0.11470539495348939,0.0,0.0,0.531440834980458,0.170875276904553,1993.0
-0.14507760596257935,-0.4676046147661045,0.9878611247397311,1.685128546768855,-0.3225270088035249,Germany,83.0,DEA2_dYren 1990,1.4243577718734741,,,0.033089011907577515,1.3366693258285522,0.8736069202423096,0.035111863166093826,0.8384950757026672,3.700000047683716,0.10621494054794312,19.299999237060547,2.5999999046325684,1.7000000476837158,21.700000762939453,59.0,3.5999999046325684,36.70000076293945,1886303.0,0.2641090452671051,0.2655288875102997,,,0.3521033227443695,0.0367272980511189,0.7044907708186687,0.16617022614461852,DEA,723.0,0.447587072849274,0.0,0.0,0.49097254127264023,0.0,1990.0
0.3904288997875946,0.8862904959693659,1.1057357642231396,0.9882748485424688,0.4361243251823869,Germany,95.0,DE25_nYrnberg-sYd 2002,1.1526983976364136,0.5442254543304443,0.41613316535949707,0.03477069362998009,0.13458016514778137,0.5424671769142151,0.21629808843135834,0.32616907358169556,3.5999999046325684,0.08876533806324005,23.100000381469727,2.9000000953674316,2.5999999046325684,21.700000762939453,55.099998474121094,5.5,34.0,1053051.0,0.4105556309223175,0.37339866161346436,-0.007351468782871962,-3.6476938724517822,4.126489162445068,0.42091703414917,0.580127672247855,0.6252809481629162,DE2,575.0,0.0455835238099098,0.0106088630855083,0.0106088630855083,0.5112794190645217,0.0,2002.0
0.3406972691385979,0.7904680148421334,1.1550134014964664,0.9784466023061036,0.10289938819379735,Germany,91.0,DEB1_koblenz 1998,0.48405173420906067,0.2489759922027588,0.8830666542053223,0.03967418521642685,0.6125760674476624,0.3192448318004608,0.13571107387542725,0.18353375792503357,3.4000000953674316,0.07017768919467926,20.899999618530273,3.299999952316284,3.0,22.0,57.099998474121094,3.5999999046325684,39.70000076293945,275508.0,0.33137309551239014,0.33194828033447266,0.4723784029483795,1.2996629476547241,2.063595771789551,0.47773158922791437,0.7351743260761001,0.9625262883236427,DEB,751.0,0.0,0.0422681570053101,0.0422681570053101,0.462351560592651,0.0,1998.0
0.4650662226201529,0.9912500882303158,1.2651588681453028,1.4037934131133725,0.284723113618727,Germany,98.0,DEA2_dYren 2005,2.2693188190460205,0.2229401022195816,0.5599549412727356,0.19537052512168884,1.3068817853927612,0.7897279262542725,-0.057828571647405624,0.847556471824646,3.700000047683716,0.10621494054794312,19.299999237060547,2.5999999046325684,1.7000000476837158,21.700000762939453,59.0,3.5999999046325684,36.70000076293945,1886303.0,0.4505891501903534,0.4404289722442627,1.0047767162322998,3.9830002784729004,22.704727172851562,0.428365737199783,0.820207161423828,0.9603426298144412,DEA,738.0,0.0295625068247318,0.042956780642271,0.042956780642271,0.4873850867152213,0.0117298951372504,2005.0
1.0097824583417254,0.5211967561353206,1.3242831095242422,2.232150642587024,-0.04636008056434444,Germany,87.0,DED4_glauchau 1994,-0.6969659924507141,0.024979598820209503,0.1219148337841034,0.0458383671939373,-1.1321321725845337,-1.0750542879104614,0.04938507080078125,-1.1244393587112427,2.200000047683716,0.013275502249598503,31.700000762939453,2.5,1.399999976158142,6.300000190734863,62.0,4.199999809265137,38.5,61169.0,0.18715360760688782,0.18048888444900513,0.18773585557937622,0.5807348489761353,1.1413795948028564,0.5551806688308719,2.450963216038352,3.4494809142875766,DED,787.0,0.0,0.0,0.0,0.44481930136680603,0.0,1994.0
-0.3931889149272305,-0.013097677828550192,0.5299414551582434,0.5239979642062514,0.12944657616292288,Greece,103.0,EL43_dept. of lasithion 1990,0.7538654804229736,0.07621140778064728,-0.000331344548612833,0.0070740231312811375,1.173726201057434,0.9036785960197449,0.0388416051864624,0.8648369908332825,4.199999809265137,0.06801173835992813,14.5,1.2999999523162842,6.5,57.20000076293945,28.299999237060547,34.20000076293945,51.0,40424.0,0.16024984419345856,0.17267750203609467,,,0.9030585885047913,0.057091947644949,0.0,0.0,EL43,923.0,0.0,0.541628003120422,0.541628003120422,0.3872979616280642,0.0,1990.0
0.5681266860248099,-0.24597221917827397,-0.04493014886687273,0.6116283188168562,-0.8031112637066053,Greece,113.0,EL51_evros 2000,0.10629449784755707,0.06413557380437851,0.10581012815237045,0.015149589627981186,0.15698973834514618,0.0389503538608551,0.006112311035394669,0.032838042825460434,,0.024945566430687904,,,,,,,,15146.0,0.25664541125297546,0.24782313406467438,1.9023115634918213,11.822769165039062,25.849254608154297,0.9123632337432362,0.13533677949685452,0.08228701825869189,EL51,953.0,0.0,0.0787715166807175,0.0787715166807175,0.0,0.0,2000.0
-0.10512207343646587,0.31650178622200426,0.7000910120269435,0.6921172004788938,0.17097919872271267,Greece,103.0,EL64_dept. of fthiotis 1990,1.647171974182129,0.19290249049663544,-0.0008519728435203433,0.0015660641947761178,3.9074294567108154,3.0805647373199463,0.13209176063537598,2.9484729766845703,,0.07058572769165039,,,,,,,,39397.0,0.4152657985687256,0.4474165141582489,,,5.2744269371032715,0.0810825228691101,1.4969927417812743,1.483727817186225,EL64,1083.0,0.0,0.389987260103226,0.389987260103226,0.5158721129409971,0.0,1990.0
0.8365056574336618,-0.7569109402854728,-0.7258376759319782,-0.0028345395500857947,-1.0000786197976075,Greece,109.0,EL51_dept. of xanthi 1996,-0.16583101451396942,0.0660514086484909,0.0005775198224000633,0.00887847039848566,0.09049449115991592,0.16523411870002747,0.04612697288393974,0.11910714209079742,,0.024945566430687904,,,,,,,,15146.0,0.23267388343811035,0.2374953180551529,1.1632742881774902,8.081140518188477,52.92900085449219,0.52198400720954,-0.4531227648398729,-0.43483870223716337,EL51,949.0,0.361025303602219,0.0582303777337074,0.0582303777337074,0.0378966815769672,0.0,1996.0
-0.3509900215579568,-0.3786000342661213,0.6742979155364996,0.24426575936354955,-0.013213469333231007,Greece,102.0,EL64_dept. of beotia 1989_2,,0.2446657121181488,0.0008726184605620801,,,,,,,0.07058572769165039,,,,,,,,39397.0,0.4474165141582489,,,,,0.0,0.10814484964550464,-0.04889877314586588,EL64,1082.0,0.534891098737717,0.0,0.0,0.452451109886169,0.0,1989.0
0.3455861006327222,0.45888964689927875,0.1221975605165533,0.22558303944930932,-0.324934115284482,Ireland,130.0,IE02_kildare north 1997,2.785909652709961,1.986224889755249,0.6448160409927368,0.0032060917001217604,0.568996250629425,0.6729475259780884,0.02005891501903534,0.6528885960578918,11.100000381469727,0.07173746079206467,24.100000381469727,7.800000190734863,10.899999618530273,39.79999923706055,36.20000076293945,7.0,65.5999984741211,190886.0,0.17172977328300476,0.16816581785678864,3.7089695930480957,-4.403068542480469,67.88206481933594,0.538539941393808,0.4381157429550584,0.4117854175979807,IE02,2040.0,0.0879729901898331,0.0446872213020767,0.0446872213020767,0.3287998471142821,0.0,1997.0
0.4023881421049829,-0.10607181964052018,-0.7539704453871204,0.2511222682221699,-1.4183788962021326,Ireland,122.0,IE01_galway east 1989,,,,,,,,,5.199999809265137,0.08318673074245453,15.899999618530273,6.0,14.0,50.0,34.099998474121094,16.0,52.29999923706055,80291.0,0.17208953201770782,,,,,0.985856019774108,-1.007998028792338,0.40020426905751094,IE01,2012.0,0.0,0.0,0.0,0.0,0.0,1989.0
0.4784343201290532,-0.6006185085898438,0.03511847464851365,0.4507799762559175,-0.3922091982391961,Ireland,125.0,IE02_cork north-central 1992,0.5905306339263916,,,0.02997639775276184,0.06736460328102112,-0.1138969212770462,-0.008178368210792542,-0.10571855306625366,11.100000381469727,0.07173746079206467,24.100000381469727,7.800000190734863,10.899999618530273,39.79999923706055,36.20000076293945,7.0,65.5999984741211,190886.0,0.1626555621623993,0.16559311747550964,2.6864359378814697,-16.22565269470215,20.780353546142578,0.5099677024167499,-0.10846014488473288,0.6419997989852447,IE02,2035.0,0.222920147009689,0.0399821806437242,0.0399821806437242,0.115647622229647,0.0,1992.0
-0.0878616532360817,-0.1467137488216819,0.26072652727670337,0.2401970625790542,0.16126648038191532,Ireland,140.0,IE02_dublin central 2007,-3.488095283508301,3.78244686126709,7.865671157836914,0.10394629091024399,0.26476961374282837,0.9481409192085266,0.21305185556411743,0.7350890636444092,11.100000381469727,0.07173746079206467,24.100000381469727,7.800000190734863,10.899999618530273,39.79999923706055,36.20000076293945,7.0,65.5999984741211,190886.0,0.17653541266918182,0.17554821074008942,18.41809844970703,40.888431549072266,261.1846923828125,0.5398539341986175,0.36066179596092285,0.5632151864676638,IE02,2050.0,0.125667601823807,0.14945581927895552,0.0575940422713757,0.0055717541836202,0.0,2007.0
0.030357013758466413,-0.23146544263801735,0.04321663811195342,0.1525417577257943,-0.04170388042896819,Ireland,140.0,IE02_kildare south 2007,-3.488095283508301,3.78244686126709,7.865671157836914,0.10394629091024399,0.26476961374282837,0.9481409192085266,0.21305185556411743,0.7350890636444092,11.100000381469727,0.07173746079206467,24.100000381469727,7.800000190734863,10.899999618530273,39.79999923706055,36.20000076293945,7.0,65.5999984741211,190886.0,0.17653541266918182,0.17554821074008942,18.41809844970703,40.888431549072266,261.1846923828125,0.6754357963800431,0.36066179596092285,0.5632151864676638,IE02,2050.0,0.206816807389259,0.061750166118145,0.061750166118145,0.043739702552557,0.0,2007.0
1.77911884491314,1.8650330951355547,-0.5915999306646175,-0.24428654758784507,0.2590736134656412,Italy,149.0,ITF3_salerno centro 1996,0.39026251435279846,0.031935326755046844,0.04639767110347748,0.005039893090724945,0.24189719557762146,0.20747186243534088,0.03634047508239746,0.17113138735294342,4.400000095367432,0.007052316330373287,8.899999618530273,3.5,11.699999809265137,59.20000076293945,31.799999237060547,9.800000190734863,62.79999923706055,40208.0,0.11216256767511368,0.12304773181676865,0.1398865133523941,0.662108838558197,4.723336219787598,0.426939994096756,-0.6646962139549597,0.9649288853991389,ITF3,2179.0,0.0330488532781601,0.0,0.0,0.517837941646576,0.0,1996.0
1.5177826785267112,1.0540441329158952,-0.7239470565039008,0.3014451000447875,-0.9137071189661776,Italy,147.0,ITF6_lamezia terme 1994,0.0052300384268164635,0.011814591474831104,0.02426798827946186,0.0001157782317022793,-0.18921145796775818,-0.1492670178413391,-0.0004175462818238884,-0.1488494724035263,3.5999999046325684,0.0087105892598629,10.399999618530273,2.0,4.800000190734863,55.599998474121094,33.900001525878906,16.5,64.80000305175781,17505.0,0.03849706053733826,0.045537419617176056,0.027689024806022644,0.07221066206693649,0.2909161150455475,0.799658685922623,-1.742954842936991,-0.10370417800207365,ITF6,2237.0,0.0,0.0,0.0,0.0,0.0,1994.0
