excl_a,excl_b,r,p,n
FI,FR,-0.9224062180366693,7.177320864684325e-06,13
BE,FR,-0.9215433269224332,7.614529851756683e-06,13
FR,IE,-0.9188962100936795,9.091736938822387e-06,13
FR,NL,-0.9017870369292807,2.5188159694648337e-05,13
AT,FR,-0.9011507457498105,2.6066024117157213e-05,13
ES,FR,-0.8998390816715014,2.7953359659425917e-05,13
FR,SE,-0.8997436101650818,2.809490762828802e-05,13
DE,FR,-0.8986386814620245,2.9775438732617526e-05,13
FI,IE,-0.8976660450436452,3.13207702565825e-05,13
DK,FR,-0.897145964799681,3.217313637704813e-05,13
FI,NL,-0.895924553992511,3.424836231187153e-05,13
CH,FR,-0.8956845258877486,3.4668540532814574e-05,13
FR,PT,-0.8946296795056461,3.656447198982798e-05,13
BE,FI,-0.8938025407757805,3.8108636747238644e-05,13
ES,FI,-0.8899102394924759,4.60941466174311e-05,13
DE,FI,-0.8887353003304824,4.875157941015246e-05,13
BE,IE,-0.8870771661475982,5.27096245839863e-05,13
AT,FI,-0.8842936249935889,5.9930497896600885e-05,13
CH,FI,-0.8839552009102843,6.085989157637666e-05,13
FI,SE,-0.8837642946604731,6.13892396390899e-05,13
FR,IT,-0.8829906997149864,6.357218346334778e-05,13
DK,FI,-0.8829696070181036,6.363256238611765e-05,13
FI,PT,-0.8820422351802215,6.633299851626804e-05,13
IE,NL,-0.8765805604393867,8.416037086780383e-05,13
ES,IE,-0.8743216177721006,9.256983731321375e-05,13
AT,IE,-0.8737994479576486,9.460617581960415e-05,13
IE,SE,-0.8727884547815592,9.865060828108858e-05,13
DE,IE,-0.871397372240353,0.00010444035293112002,13
DK,IE,-0.8703588326526894,0.00010893734487698537,13
CH,IE,-0.8697142564317213,0.00011180535484258457,13
FI,IT,-0.8695511414215275,0.00011254060681519528,13
AT,BE,-0.869051242776256,0.00011481803153803498,13
BE,DE,-0.8689770377641554,0.00011515920823765637,13
BE,ES,-0.868357731562098,0.00011803833564902993,13
BE,SE,-0.8678778519372191,0.00012030857715000052,13
IE,PT,-0.8672973477469363,0.00012310133179157636,13
ES,NL,-0.8658810595439931,0.00013013264305838641,13
BE,DK,-0.865673353758771,0.0001311902296685161,13
DE,NL,-0.8636848457293547,0.00014166676505070568,13
BE,PT,-0.8634073596456288,0.00014318028829272983,13
FR,GB,-0.8627693820455717,0.00014670904804842827,13
BE,NL,-0.8625923002608907,0.00014770071750031034,13
BE,CH,-0.8623252195559257,0.00014920649614072655,13
DE,ES,-0.8620313337974682,0.0001508775264627088,13
AT,NL,-0.8613189813241542,0.0001549899612686463,13
AT,ES,-0.8600819595714717,0.00016234343722938495,13
ES,SE,-0.8594052910938609,0.0001664820182774087,13
DK,NL,-0.8592193693767416,0.00016763374064222906,13
NL,SE,-0.8590619056386026,0.00016861413593105527,13
CH,NL,-0.8588291271808314,0.00017007182185191057,13
DK,ES,-0.8582466856109545,0.00017376319192457978,13
CH,ES,-0.8580888447238586,0.00017477446569533791,13
NL,PT,-0.8575494132973628,0.00017826602807126849,13
DE,SE,-0.8575172610432434,0.000178475881168405,13
AT,SE,-0.8574415103507609,0.00017897107338345382,13
AT,DE,-0.8569765514617638,0.0001820346123699727,13
ES,PT,-0.8563355497370098,0.0001863264377424082,13
CH,DE,-0.8562627938349004,0.00018681862505803568,13
DE,DK,-0.8555036726292536,0.00019201607423719437,13
AT,DK,-0.8551828234409412,0.00019424715356580136,13
AT,CH,-0.8549672636886188,0.00019575764650184136,13
DK,SE,-0.8549426901757516,0.00019593043296305978,13
CH,SE,-0.8538214987105133,0.00020394418563342704,13
DE,PT,-0.8533485901667337,0.000207401587739844,13
CH,DK,-0.8528579981279663,0.00021103743113040302,13
PT,SE,-0.8525363401722433,0.00021344869542853375,13
AT,PT,-0.8522316581937905,0.0002157528803594286,13
IE,IT,-0.8517016690200263,0.000219808120509446,13
CH,PT,-0.8507885273801697,0.0002269372205365729,13
DK,PT,-0.8503394702199771,0.00023050995122633305,13
BE,IT,-0.8491640863936419,0.00024007364663514204,13
FR,NO,-0.8489713122846856,0.00024167186505790177,13
FI,GB,-0.8460739641490115,0.00026672950135920675,13
IT,NL,-0.8415049980449667,0.00031039989652679377,13
ES,IT,-0.8410393752585613,0.00031515089958594186,13
IT,SE,-0.8368760199027645,0.00036025071262191265,13
DE,IT,-0.8364074194386477,0.00036563129484177545,13
FI,NO,-0.8358219192051466,0.00037244351872562666,13
AT,IT,-0.8350647004408505,0.0003814025269046641,13
CH,IT,-0.8350102540190321,0.0003820532330861251,13
DK,IT,-0.8334676781658311,0.0004008579952493728,13
IT,PT,-0.8298283281568792,0.00044813799724424696,13
GB,IE,-0.8255194891176226,0.0005097124031102822,13
BE,GB,-0.8214382589362935,0.0005740292700173716,13
IE,NO,-0.8157869019779993,0.0006735019400728431,13
ES,GB,-0.8137776256050189,0.0007119722994891512,13
GB,NL,-0.8128431508958823,0.0007304444635158827,13
GB,SE,-0.8093876571585478,0.0008020592138464269,13
CH,GB,-0.8069924064135605,0.0008548650520763937,13
AT,GB,-0.8056597703017424,0.0008854074969134826,13
DE,GB,-0.805551075827261,0.000887936029481,13
DK,GB,-0.804102182727378,0.0009221875332239933,13
GB,PT,-0.7982236994071766,0.0010719671523825229,13
ES,NO,-0.7978264944202424,0.001082737116068968,13
DE,NO,-0.7956669576574352,0.001142788527634827,13
AT,NO,-0.7951118453934246,0.0011586393717142362,13
DK,NO,-0.7919720242212867,0.0012515738738968559,13
NL,NO,-0.7906638796342482,0.0012919759090883431,13
NO,SE,-0.7894325805034602,0.0013309323542376739,13
NO,PT,-0.7885752869795116,0.001358595264546128,13
CH,NO,-0.7856185753377817,0.001457476197348947,13
BE,NO,-0.7806045588217727,0.0016379604446869777,13
GB,IT,-0.7619634554235409,0.0024671935275825813,13
IT,NO,-0.7586619043491016,0.0026430225851409995,13
GB,NO,-0.7003414591701504,0.007679695803251828,13
